level,english-word,chinese-translation,chinese-translation,chinese-translation
2,journal,n. 日记; 杂志; 定期刊物,,
1,transport,n. 运送; 运输,vt. 运输; 运送,
1,prefer,vt. 更喜欢; 选择某事物(而不选择其他事物),,
2,disadvantage,n. 不利条件; 不便之处,,
2,fare,n. 费用,,
3,route,n. 路线; 路途,,
3,Mekong,n. 湄公河,,
2,flow,vi. 流动; 流出,n. 流动; 流量,
1,ever since,自从; 自……以后,,
1,persuade,vt. 说服; 劝说,,
2,cycle,vi. 骑自行车,,
1,graduate,vi. 毕业,n. 大学毕业生,
1,finally,adv. 最后; 终于,,
1,schedule,n. 时间表; 进度表,vt. 为某事安排时间,
2,fond,adj. 喜爱的; 慈爱的; 宠爱的,,
1,be fond of,喜爱; 喜欢,,
2,shortcoming,n. 缺点,,
2,stubborn,adj. 顽固的; 固执的,,
1,organize,vt. 组织; 成立,,
1,care about,关心; 忧虑; 惦念,,
3,detail,n. 细节; 详细,,
3,source,n. 来源; 水源,,
2,determine,vt. 决定; 确定; 下定决心,,
2,determined,adj. 坚决的; 有决心的,,
1,change one's mind,改变主意,,
1,journey,n. 旅行; 旅程,,
2,altitude,n. 海拔高度; 高处,,
1,make up one's mind,下决心; 决定,,
1,give in,投降; 屈服; 让步,,
3,atlas,n. 地图; 地图集,,
3,glacier,n. 冰河; 冰川,,
3,rapids,n. 急流,,
2,valley,n. (山)谷; 流域,,
3,waterfall,n. 瀑布,,
2,pace,vi. 缓慢而行; 踱步,n. 一步; 速度; 步调,
2,bend,n. 弯; 拐角,"vt. (bent, bent) 使弯曲",vi. 弯身; 弯腰
3,meander,n. (指河流等)蜿蜒缓慢流动,,
3,delta,n. 三角洲,,
1,attitude,n. 态度; 看法,,
3,Qomolangma,n. 珠穆朗玛峰,,
2,boil,vi. (指液体)沸腾; (水)开,,
2,forecast,n. & vt. 预测; 预报,,
2,parcel,n. 小包; 包裹,,
2,insurance,n. 保险,,
2,wool,n. 羊毛; 毛织品,,
1,as usual,照常,,
1,reliable,adj. 可信赖的; 可靠的,,
2,view,n. 风景; 视野; 观点; 见解,vt. 观看; 注视; 考虑,
3,yak,n. 牦牛,,
2,pillow,n. 枕头; 枕垫,,
2,midnight,n. 午夜; 子夜,,
1,at midnight,在午夜,,
2,flame,n. 火焰; 光芒; 热情,,
2,beneath,prep. 在……下面,,
3,Laos,n. 老挝(东南亚国家),,
3,Laotian,n. 老挝人,adj. 老挝(人)的,
2,temple,n. 庙宇; 寺庙,,
2,cave,n. 洞穴; 地窖,,
