level,english-word,chinese-translation,chinese-translation,chinese-translation,chinese-translation
1,take place,发生,,,
2,beauty,n. 美; 美人,,,
2,harvest,n. & vt. & vi. 收获; 收割,,,
2,celebration,n. 庆祝; 祝贺,,,
2,hunter,n. 狩猎者; 猎人,,,
2,starve,vi. & vt. (使)饿死; 饿得要死,,,
2,origin,n. 起源; 由来; 起因,,,
1,religious,adj. 宗教上的; 信奉宗教的; 虔诚的,,,
3,seasonal,adj. 季节的; 季节性的,,,
2,ancestor,n. 祖先; 祖宗,,,
3,Obon,n. 盂兰盆节,,,
3,grave,n. 坟墓; 墓地,,,
3,incense,n. 熏香; 熏香的烟,,,
1,in memory of,纪念; 追念,,,
2,Mexico,n. 墨西哥(拉丁美洲国家),,,
2,feast,n. 节日; 盛宴,,,
3,skull,n. 头脑; 骨头,,,
2,bone,n. 骨; 骨头,,,
3,Halloween,n. 万圣节前夕; 诸圣日前夕,,,
1,belief,n. 信任; 信心; 信仰,,,
1,dress up,穿上盛装; 打扮; 装饰,,,
1,trick,n. 诡计; 恶作剧; 窍门,vt. 欺骗; 诈骗,,
1,play a trick on,搞恶作剧; 诈骗; 开玩笑,,,
2,poet,n. 诗人,,,
3,Columbus,哥伦布日,,,
2,arrival,n. 到来; 到达; 到达者,,,
3,Christopher Columbus,克里斯托弗•哥伦布(意大利航海家),,,
1,gain,vt. 获得; 得到,,,
2,independence,n. 独立; 自主,,,
2,independent,adj. 独立的; 自主的,,,
1,gather,vt. & vi. 搜集; 集合; 聚集,,,
2,agriculture,n. 农业; 农艺; 农学,,,
2,agricultural,adj. 农业的; 农艺的,,,
1,award,n. 奖; 奖品,vt. 授予; 判定,,
3,produce,n. 产品; (尤指)农产品,,,
2,rooster,n. 雄禽; 公鸡,,,
1,admire,vt. 赞美; 钦佩; 羡慕,,,
2,energetic,adj. 充满活力的; 精力充沛的; 积极的,,,
1,look forward to,期望; 期待; 盼望,,,
3,carnival,n. 狂欢节; (四旬斋前的)饮宴狂欢; 嘉年华(会),,,
3,lunar,adj. 月的; 月亮的; 阴历的,,,
2,Easter,n. (耶稣)复活节,,,
3,parade,n. 游行; 阅兵; 检阅,,,
1,day and night,日夜; 昼夜; 整天,,,
2,clothing,n. 衣服,,,
2,Christian,n. 基督徒; 信徒,adj. 基督教的; 信基督教的,,
3,Jesus,n. 耶稣,,,
3,cherry,n. 樱桃; 樱桃树,,,
3,blossom,n. 花,vi. 开花,,
1,as though,好像,,,
1,have fun with,玩得开心,,,
2,custom,n. 习惯; 风俗,,,
2,worldwide,adj. 遍及全世界的; 世界性的,,,
3,rosebud,n. 玫瑰花瓣,,,
2,fool,n. 愚人; 白痴; 受骗者,vt. 愚弄; 欺骗,vi. 干傻事; 开玩笑,adj. 傻的
3,necessity,n. 必要性; 需要,,,
1,permission,n. 许可; 允许,,,
3,prediction,n. 预言; 预报; 预告,,,
3,fashion,n. 样子; 方式; 时尚,,,
3,Trinidad,n. 特立尼达岛,,,
3,Carla,n. 卡拉(女名),,,
3,Hari,n. 哈利(男名),,,
2,parking,n. (汽车等)停放,,,
2,parking lot,停车场,,,
3,Valentine's Day,n. 圣瓦伦丁节; 情人节,,,
1,turn up,出现; 到场,,,
1,keep one's word,守信用; 履行诺言,,,
1,hold one's breath,屏息; 屏气,,,
1,apologize,vi. 道歉; 辩白,,,
2,drown,vt. & vi. 淹没; 溺死; 淹死,,,
2,sadness,n. 悲哀; 悲伤,,,
1,obvious,adj. 明显的; 显而易见的,,,
2,wipe,vt. 擦; 揩; 擦去,,,
3,weave,"vt. & vi. (wove, woven) 编织; (使)迂回前进",,,
3,herd,n. 牧群; 兽群,,,
3,the Milky Way,银河,,,
3,magpie,n. 喜鹊,,,
2,weep,"vi. (wept, wept) 哭泣; 流泪",n. 哭; 哭泣,,
3,announcer,n. 广播员; 告知者; 报幕员,,,
1,set off,出发; 动身; 使爆炸,,,
1,remind ,vt. 提醒; 使想起,,,
1,remind … of …,使……想起……,,,
2,forgive,"vt. (forgave, forgiven) 原谅; 饶恕",,,
