level,english-word,chinese-translation,chinese-translation
2,journalist,n. 记者; 新闻工作者,
3,involve,vt. 牵涉; 涉及; 包括; 使参与(卷入)……,
2,editor,n. 编辑,
2,photograph,n. 照片,vt. 给……照相
2,photographer,n. 摄影师,
3,photography,n. 摄像,
3,unforgettable,adj. 难忘的; 永远记得的,
3,assignment,n. 任务; 分配,
1,delighted,adj. 快乐的; 欣喜的,
2,admirable,adj. 值得赞扬的; 令人钦佩的,
2,unusual,adj. 不同寻常的; 独特的,
1,assist,vt. 帮助; 协助; 援助,
2,assistant,n. 助手; 助理; 售货员,
2,submit,vt. 递交; 呈递(文件等),
2,profession,n. 职业; 专业,
2,professional,adj. 专业的; 职业的,n. 专业人员
2,colleague,n. 同事,
2,eager,adj. 渴望的; 热切的,
1,concentrate,vi. & vt. 集中; 聚集,
1,concentrate on,集中; 全神贯注于,
2,amateur,n. 业余爱好者,
2,update,vt. 更新; 使现代化,
1,acquire,vt. 获得; 取得; 学到,
1,assess,vt. 评估; 评定,
1,inform,vt. 告知; 通知,
2,deadline,n. 最后期限,
3,interviewee,n. 参加面试者; 接受采访者,
2,meanwhile,adv. 其间; 同时,
1,depend on,依靠; 依赖,
2,case,n. 情况; 病例; 案例,
1,accuse,vt. 指责; 谴责; 控告,
1,accuse … of,因……指责或控告……,
3,accusation,n. 指责; 谴责; 控告,
2,deliberately,adv. 故意地,
1,so as to (do sth),为了(做)……,
3,deny,vt. 否认; 拒绝,
2,sceptical,adj. 怀疑的 ( <美> skeptical ),
2,guilty,adj. 犯罪的; 有罪的; 内疚的,
2,dilemma,n. (进退两难的)困境; 窘境,
1,demand,n. 需求; 要求,vt. 强烈要求
3,demanding,adj. 要求很高的; 费力的,
2,publish,vt. 出版; 发行; 发表; 公布,
3,scoop,n. 抢先获得的新闻、利润等; 勺子; 铲子,
2,section,n. 部分; 节,
3,concise,adj. 简明的; 简练的,
3,imaginative,adj. 富于想象力的,
2,technical,adj. 技术(上)的; 技巧方面的,
2,technically,adv. 技术上; 工艺上,
2,thorough,adj. 彻底的; 详尽的,
2,gifted,adj. 有天赋的,
3,idiomatic,adj. 惯用的; 合乎语言习惯的,
2,housewife,n. 家庭主妇,
2,crime,n. 罪行; 犯罪,
2,edition,n. 版(本); 版次,
1,ahead of,在……前面,
2,department,n. 部门; 部; 处; 系,
2,accurate,adj. 精确的; 正确的,
2,senior,adj. 年长的; 高年级的; 高级的,
2,polish,vt. 擦亮; 磨光; 润色,
2,chief,adj. 主要的; 首席的,n. 首领; 长官
1,approve,vt. 赞成; 认可; 批准,
1,process,vt. 加工; 处理,n. 过程; 程序; 步骤
3,negative,n. 底片; 否定,adj. 否定的; 消极的
2,appointment,n. 约会; 任命,
